AW-1-O-1-T-D2,,AW-1-O-1-M-D2,,AW-1-O-1-L-D2,,AW-1-O-2-T-D2,,AW-1-O-2-M-D2,,AW-1-O-2-L-D2,,AW-1-O-3-T-D2,,AW-1-O-3-M-D2,,AW-1-O-3-L-D2,,AW-1-O-4-T-D2,,AW-1-O-4-M-D2,,AW-1-O-4-L-D2,
12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 40.5058' N  36° 16.8475' E
Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark
4.11E+03,3.90E+03,4.08E+03,3.86E+03,4.10E+03,3.87E+03,4.10E+03,3.87E+03,4.11E+03,3.89E+03,4.09E+03,3.89E+03,4.14E+03,3.84E+03,4.06E+03,3.85E+03,4.08E+03,3.89E+03,4.15E+03,3.89E+03,4.08E+03,3.86E+03,4.03E+03,5.00E+03
4.10E+03,3.88E+03,4.09E+03,3.84E+03,4.10E+03,3.85E+03,4.12E+03,3.86E+03,4.15E+03,3.87E+03,4.07E+03,3.89E+03,4.12E+03,3.85E+03,4.08E+03,3.84E+03,4.10E+03,3.87E+03,4.11E+03,3.86E+03,4.08E+03,3.86E+03,4.07E+03,5.05E+03
4.13E+03,3.89E+03,4.13E+03,3.84E+03,4.10E+03,3.85E+03,4.12E+03,3.86E+03,4.15E+03,3.86E+03,4.11E+03,3.86E+03,4.14E+03,3.83E+03,4.10E+03,3.84E+03,4.12E+03,3.86E+03,4.15E+03,3.87E+03,4.07E+03,3.83E+03,4.10E+03,5.06E+03
4.14E+03,3.86E+03,4.13E+03,3.87E+03,4.13E+03,3.86E+03,4.16E+03,3.87E+03,4.16E+03,3.89E+03,4.13E+03,3.87E+03,4.15E+03,3.82E+03,4.10E+03,3.85E+03,4.10E+03,3.90E+03,4.16E+03,3.88E+03,4.09E+03,3.86E+03,4.09E+03,5.06E+03
4.15E+03,3.90E+03,4.14E+03,3.83E+03,4.15E+03,3.89E+03,4.19E+03,3.89E+03,4.22E+03,3.88E+03,4.12E+03,3.91E+03,4.18E+03,3.85E+03,4.14E+03,3.83E+03,4.16E+03,3.89E+03,4.19E+03,3.89E+03,4.15E+03,3.90E+03,4.12E+03,5.05E+03
4.15E+03,3.87E+03,4.15E+03,3.83E+03,4.16E+03,3.82E+03,4.18E+03,3.88E+03,4.20E+03,3.86E+03,4.10E+03,3.90E+03,4.15E+03,3.84E+03,4.14E+03,3.82E+03,4.15E+03,3.89E+03,4.17E+03,3.88E+03,4.16E+03,3.85E+03,4.12E+03,5.11E+03
4.20E+03,3.90E+03,4.18E+03,3.83E+03,4.17E+03,3.86E+03,4.23E+03,3.89E+03,4.24E+03,3.89E+03,4.19E+03,3.87E+03,4.18E+03,3.85E+03,4.16E+03,3.82E+03,4.18E+03,3.89E+03,4.22E+03,3.88E+03,4.17E+03,3.88E+03,4.14E+03,5.14E+03
4.22E+03,3.89E+03,4.18E+03,3.85E+03,4.19E+03,3.86E+03,4.27E+03,3.87E+03,4.23E+03,3.89E+03,4.19E+03,3.88E+03,4.21E+03,3.84E+03,4.17E+03,3.85E+03,4.21E+03,3.91E+03,4.24E+03,3.87E+03,4.20E+03,3.89E+03,4.16E+03,5.14E+03
4.22E+03,3.91E+03,4.22E+03,3.86E+03,4.23E+03,3.88E+03,4.24E+03,3.87E+03,4.28E+03,3.87E+03,4.22E+03,3.86E+03,4.24E+03,3.84E+03,4.19E+03,3.87E+03,4.19E+03,3.89E+03,4.22E+03,3.86E+03,4.23E+03,3.89E+03,4.19E+03,5.16E+03
4.21E+03,3.91E+03,4.24E+03,3.87E+03,4.25E+03,3.88E+03,4.29E+03,3.88E+03,4.33E+03,3.88E+03,4.26E+03,3.88E+03,4.27E+03,3.84E+03,4.24E+03,3.88E+03,4.25E+03,3.87E+03,4.28E+03,3.88E+03,4.25E+03,3.87E+03,4.20E+03,5.13E+03
4.24E+03,3.91E+03,4.22E+03,3.86E+03,4.24E+03,3.87E+03,4.34E+03,3.90E+03,4.33E+03,3.89E+03,4.25E+03,3.91E+03,4.27E+03,3.85E+03,4.23E+03,3.88E+03,4.28E+03,3.92E+03,4.26E+03,3.86E+03,4.25E+03,3.88E+03,4.19E+03,5.15E+03
