"","ID","Location","site_num","Tapping","Tree_num","C_pos.","Device","nm","refl","Tree_ID","r800","NDVI","SR"
"76","DG-1-I-06-L-D2","DG-1",1,"I",6,"L","D2",793,18.9952161587527,"DG-1-I-06-L",18.9952161587527,0.739486712456484,6.88902134019335
"77","DG-1-I-06-M-D2","DG-1",1,"I",6,"M","D2",793,22.2749699879952,"DG-1-I-06-M",22.2749699879952,0.780578066890183,8.32826707491669
"78","DG-1-I-06-T-D2","DG-1",1,"I",6,"T","D2",793,21.8989750228387,"DG-1-I-06-T",21.8989750228387,0.64851126376814,4.82244728319115
"79","DG-1-I-09-L-D2","DG-1",1,"I",9,"L","D2",793,20.9708255066733,"DG-1-I-09-L",20.9708255066733,0.714234201584632,6.26128186648059
"80","DG-1-I-09-M-D2","DG-1",1,"I",9,"M","D2",793,21.2003981033754,"DG-1-I-09-M",21.2003981033754,0.649674230571652,4.84602559252054
"81","DG-1-I-09-T-D2","DG-1",1,"I",9,"T","D2",793,20.9322903508289,"DG-1-I-09-T",20.9322903508289,0.685324141558457,5.58897804650754
"82","DG-1-I-12-L-D2","DG-1",1,"I",12,"L","D2",793,40.6026369794599,"DG-1-I-12-L",40.6026369794599,0.755438358312692,7.53482066920572
"83","DG-1-I-12-M-D2","DG-1",1,"I",12,"M","D2",793,18.916884705001,"DG-1-I-12-M",18.916884705001,0.672610004461719,5.18204293323398
"84","DG-1-I-12-T-D2","DG-1",1,"I",12,"T","D2",793,22.4931245225363,"DG-1-I-12-T",22.4931245225363,0.693555057634748,5.69935730443962
"85","DG-1-I-15-L-D2","DG-1",1,"I",15,"L","D2",793,34.4893328400543,"DG-1-I-15-L",34.4893328400543,0.742311548046412,6.86901960148254
"86","DG-1-I-15-M-D2","DG-1",1,"I",15,"M","D2",793,25.9137384474127,"DG-1-I-15-M",25.9137384474127,0.708490443173333,5.97339969419597
"87","DG-1-I-15-T-D2","DG-1",1,"I",15,"T","D2",793,19.6043091655267,"DG-1-I-15-T",19.6043091655267,0.675485685143833,5.322863594975
"88","DG-1-I-18-L-D2","DG-1",1,"I",18,"L","D2",793,25.3842013888889,"DG-1-I-18-L",25.3842013888889,0.677867526608484,5.45381186749673
"89","DG-1-I-18-M-D2","DG-1",1,"I",18,"M","D2",793,20.3680246167786,"DG-1-I-18-M",20.3680246167786,0.706955111490499,6.00199808939969
"90","DG-1-I-18-T-D2","DG-1",1,"I",18,"T","D2",793,21.3629530285073,"DG-1-I-18-T",21.3629530285073,0.706832377666831,6.00973536765198
"91","DG-1-I-21-L-D2","DG-1",1,"I",21,"L","D2",793,21.2715377823809,"DG-1-I-21-L",21.2715377823809,0.729263656605703,6.60116359368414
"92","DG-1-I-21-M-D2","DG-1",1,"I",21,"M","D2",793,26.4685606714794,"DG-1-I-21-M",26.4685606714794,0.698373392967482,5.79921840170613
