"","ID","Location","site_num","Tapping","Tree_num","C_pos.","Device","nm","refl","Tree_ID","r800","NDVI","SR","MCARI","G","TCARI","SPRI","PRI","SIPI","ARI1","ARI2","CRI1","CRI2"
"33","AW-1-O-1-T-D2","AW-1",1,"O",1,"T","D2",793,0.492443104509296,"AW-1-O-1-T",0.492443104509296,0.565390344662275,3.62168137461353,0.197581743749503,1.90875979331929,0.334255966526932,0.856257361600396,0.00625084660764003,0.545325632713799,-0.14323564045492,-0.0705354034619979,1.56038006619279,1.41714442573787
"34","AW-1-O-2-L-D2","AW-1",1,"O",2,"L","D2",793,0.467859248339661,"AW-1-O-2-L",0.467859248339661,0.57152781333445,3.6286342925919,0.258046466654184,2.04824062646587,0.384943163779444,0.854590838166198,0.00804433589672184,0.555145537472672,0.0385015170778398,0.0180132908399747,1.88094681219979,1.91944832927763
"35","AW-1-O-2-M-D2","AW-1",1,"O",2,"M","D2",793,0.52206176871133,"AW-1-O-2-M",0.52206176871133,0.512630897027617,3.10576338824806,0.201749562299404,1.68377540598273,0.34969594460339,0.819492828008176,-0.00243183473049838,0.515302908375351,0.112777054940913,0.0588765887725077,1.28683871824041,1.39961577318133
"36","AW-1-O-2-T-D2","AW-1",1,"O",2,"T","D2",793,0.504024461406891,"AW-1-O-2-T",0.504024461406891,0.580672236423916,3.74360151915333,0.213723563819487,1.95279234662296,0.351593332789107,0.999413879774457,0.0153412501805104,0.546456081434163,-0.135362791498337,-0.0682261580794827,1.47638449523734,1.341021703739
"37","AW-1-O-3-L-D2","AW-1",1,"O",3,"L","D2",793,0.496163717759619,"AW-1-O-3-L",0.496163717759619,0.573496449476078,3.71170309193828,0.249965125223423,2.00740791498698,0.387388116831501,0.949981963135618,0.0138779169551353,0.546353206651751,-0.0752285431747874,-0.0373256736632425,1.67053286897414,1.59530432579936
"38","AW-1-O-3-M-D2","AW-1",1,"O",3,"M","D2",793,0.495208145636821,"AW-1-O-3-M",0.495208145636821,0.581609433558655,3.78088065102911,0.210441855608525,1.89911166149466,0.341115137882591,0.878757308535459,0.0128985211749208,0.563593246321298,-0.0511599316253788,-0.0253348148711104,1.76196221949092,1.71080228786555
"39","AW-1-O-3-T-D2","AW-1",1,"O",3,"T","D2",793,0.540058938665697,"AW-1-O-3-T",0.540058938665697,0.47231621774781,2.77920442620439,0.193254313032705,1.64702620023383,0.35981749332724,0.79094281809671,-0.00626221231599252,0.478481176214569,-0.0181418998568934,-0.00979769518209321,1.09565625182706,1.07751435197016
"40","AW-1-O-4-L-D2","AW-1",1,"O",4,"L","D2",793,0.45330854705231,"AW-1-O-4-L",0.45330854705231,0.520283821681801,3.13300120217943,0.282932580954071,1.97920633558842,0.416491551935589,0.793391919986419,-0.0137549189198488,0.517717372294415,0.17506136479466,0.0793568129200618,1.60779080675167,1.78285217154633
"41","AW-1-O-4-M-D2","AW-1",1,"O",4,"M","D2",793,0.489494950678067,"AW-1-O-4-M",0.489494950678067,0.606045523514401,4.02940185501911,0.287110768341979,2.18165197667797,0.412956045887181,0.952688359747397,0.0238286259367519,0.57536671849646,-0.102198481512469,-0.0500256406673196,1.89803226029397,1.7958337787815
"42","AW-1-O-4-T-D2","AW-1",1,"O",4,"T","D2",793,0.530531675736212,"AW-1-O-4-T",0.530531675736212,0.524409196958801,3.18322407957979,0.209356896433412,1.80089034680143,0.367651764623175,0.852153796292815,0.00433530563610918,0.509379947474115,-0.0782461350450796,-0.041512053145348,1.18382853160766,1.10558239656258
