"","ID","Location","Tapping","Tree_num","C_pos.","Coordinates","Tree_ID","lat","lon"
"41217","LLT-2-T-18-L-D1","LLT-2","T",18,"L","12° 40.4943' N  36° 16.6877' E","LLT-2-T-18-L",12.674905,36.2781283333333
"41473","LLT-2-T-21-T-D1","LLT-2","T",21,"T","12° 40.4943' N  36° 16.6877' E","LLT-2-T-21-T",12.674905,36.2781283333333
"41729","LLT-2-T-21-M-D1","LLT-2","T",21,"M","12° 40.4943' N  36° 16.6877' E","LLT-2-T-21-M",12.674905,36.2781283333333
"41985","LLT-2-T-21-L-D1","LLT-2","T",21,"L","12° 40.4943' N  36° 16.6877' E","LLT-2-T-21-L",12.674905,36.2781283333333
"42241","LLT-2-T-24-T-D1","LLT-2","T",24,"T","12° 40.5009' N  36° 16.6872' E","LLT-2-T-24-T",12.675015,36.27812
"42497","LLT-2-T-24-M-D1","LLT-2","T",24,"M","12° 40.5009' N  36° 16.6872' E","LLT-2-T-24-M",12.675015,36.27812
"42753","LLT-2-T-24-L-D1","LLT-2","T",24,"L","12° 40.5009' N  36° 16.6872' E","LLT-2-T-24-L",12.675015,36.27812
"43009","LLT-2-T-27-T-D1","LLT-2","T",27,"T","12° 40.4992' N  36° 16.6812' E","LLT-2-T-27-T",12.6749866666667,36.27802
"43265","LLT-2-T-27-M-D1","LLT-2","T",27,"M","12° 40.4992' N  36° 16.6812' E","LLT-2-T-27-M",12.6749866666667,36.27802
"43521","LLT-2-T-27-L-D1","LLT-2","T",27,"L","12° 40.4992' N  36° 16.6812' E","LLT-2-T-27-L",12.6749866666667,36.27802
"43777","LLT-2-T-30-T-D1","LLT-2","T",30,"T","12° 40.4986' N  36° 16.6782' E","LLT-2-T-30-T",12.6749766666667,36.27797
"44033","LLT-2-T-30-M-D1","LLT-2","T",30,"M","12° 40.4986' N  36° 16.6782' E","LLT-2-T-30-M",12.6749766666667,36.27797
"44289","LLT-2-T-30-L-D1","LLT-2","T",30,"L","12° 40.4986' N  36° 16.6782' E","LLT-2-T-30-L",12.6749766666667,36.27797
"44545","LLT-2-I-03-T-D1","LLT-2","I",3,"T","12° 40.4540' N  36° 16.7241' E","LLT-2-I-03-T",12.6742333333333,36.278735
"44801","LLT-2-I-03-M-D1","LLT-2","I",3,"M","12° 40.4540' N  36° 16.7241' E","LLT-2-I-03-M",12.6742333333333,36.278735
